e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 b8c6 a2a3 b4a5 e4e5 g8e7                                                                                                     : .......52 moves, avg. D15, 002 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4 b5b4 a4a5 d7d5                                                                       : .......66 moves, avg. D13, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8d7 c1e3 c7c6                                                                                 : .......43 moves, avg. D05, 002 counts/move
d2d4 d7d6 e2e4 g7g6 c2c4 f8g7 b1c3 e7e5 d4d5 f7f5 e4f5 g6f5                                                                                                     : .......50 moves, avg. D04, 001 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 e2e4 b4c3 b2c3 d7d6                                                                                                     : .......44 moves, avg. D10, 001 counts/move
d2d4 c7c5 d4d5 g8f6 b1c3 g7g6 e2e4 d7d6 f2f4                                                                                                                    : .......37 moves, avg. D03, 001 counts/move
d2d4 d7d6 g1f3 c8g4 c2c4 g8f6 d1b3 d8c8 b1c3 c7c6                                                                                                               : .......42 moves, avg. D06, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8b7 d2d4 f6d7 b1d2 e5d4 c3d4 f8e8 d2f1 c6a5 b3c2 e7f6 a1b1 c7c5 d4d5 a5c4 : ......141 moves, avg. D27, 014 counts/move
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1e3 f8e7 g2g4 h7h6                                                                                           : .......51 moves, avg. D12, 002 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 g1e2 c8a6 e2g3 h7h5                                                                                                     : .......29 moves, avg. D27, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 d8d7 a2a3 b4c3 b2c3 b7b6 d1g4 f7f5 g4g3 c8b7 a3a4 b8c6                                                                       : .......37 moves, avg. D05, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e8g8 c1g5 b8c6 g1e2 a7a6 d1d2 f8e8                                                                                 : .......51 moves, avg. D08, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 a7a6 d1d2 b8d7                                                                                 : .......37 moves, avg. D07, 001 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 g1e2 c5d4 e3d4 d7d5 c4c5 f6e4 c1d2 e4d2 d1d2 b4a5 a2a3 b8d7                                                             : .......36 moves, avg. D06, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 h2h3 b8a6 c1g5 e7e5 d4d5 d8e8 g2g4 a6c5                                                                       : .......41 moves, avg. D06, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 d1g4 e8f8                                                                                           : ....2 030 moves, avg. D32, 022 counts/move
d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 e2e4 d7d6                                                                                                                         : .......47 moves, avg. D08, 001 counts/move
d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 f3d2 f8g7 e2e4 e8g8 f1e2 f6e8                                                                       : .......46 moves, avg. D10, 001 counts/move
e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 g7f6 c2c3 c8f5                                                                                                     : ......168 moves, avg. D27, 022 counts/move
e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 d5b6                                                                                                                         : .......33 moves, avg. D06, 001 counts/move
e2e4 e7e5 b1c3 g8f6 a2a3 f8c5 g1f3 f6g4 f1c4                                                                                                                    : .......59 moves, avg. D12, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7 f2f3 c6d4 d2d4 f8e7 g2g4 d7c6 g5e3 e8g8                                         : .......72 moves, avg. D13, 001 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e6 b1c3 d7d6 c1e3 g8f6 f2f4 f8e7 d1f3 e8g8                                                                                 : .......41 moves, avg. D13, 002 counts/move

Experience Rate : 2%
